matchId,playerId,squadId,minutesPlayed
117070101,80826,810,40.0
117070101,994215,810,40.0
117070101,80473,810,30.0
117070101,998408,810,30.0
117070101,80534,810,40.0
117070101,1014130,810,20.0
117070101,80343,810,36.85
117070101,1022761,810,0.0
117070101,1000231,810,27.3
117070101,1005495,810,13.15
117070101,80301,810,2.7
117070101,80150,8118,40.0
117070101,1019169,8118,40.0
117070101,1022764,8118,20.0
117070101,80701,8118,40.0
117070101,1001356,8118,40.0
117070101,1001803,8118,30.0
117070101,1013638,8118,40.0
117070101,1025014,8118,0.0
117070101,1022763,8118,20.0
117070101,1009743,8118,0.0
117070101,1019170,8118,10.0
117070101,1013629,8118,0.0
