matchId,squadId,oppSquadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
80350403,802,805,1,0,1,0,0,0,15,10,0,5,21,3,15,23,3,20,0,0,6,2,0,16,5,2,0,1,22,88.0,90.9090909090909,68.42105263157895,22.48803827751196
80350403,802,805,2,0,2,0,0,0,15,10,1,6,22,2,13,21,4,17,0,0,6,1,0,16,3,2,0,3,23,90.88913282107575,73.91304347826086,70.83333333333334,3.0797101449275175
80350403,802,805,3,1,0,0,0,1,14,15,0,2,18,2,8,16,4,12,1,0,6,1,0,23,3,1,0,4,19,75.66371681415929,63.1578947368421,95.65217391304348,-32.49427917620138
80350403,802,805,4,1,2,0,0,0,12,14,1,5,12,4,7,17,3,14,2,0,2,1,0,16,2,2,0,4,20,77.502691065662,70.0,68.75,1.25
80350403,802,805,5,0,1,0,0,0,7,4,0,2,7,1,7,7,0,7,0,0,1,0,0,5,1,0,0,1,8,68.40855106888361,87.5,80.0,7.5
80350403,802,805,6,0,1,0,0,0,7,8,0,1,10,3,4,12,2,10,2,0,3,1,0,11,0,1,0,2,13,82.24956063268894,76.92307692307693,77.77777777777779,-0.8547008547008517
80350403,805,802,1,1,2,0,0,1,14,15,0,4,15,2,8,15,2,13,1,0,4,1,0,20,2,1,0,5,19,76.0,68.42105263157895,90.9090909090909,-22.48803827751196
80350403,805,802,2,0,2,0,0,0,15,9,0,3,19,2,13,19,2,17,1,0,1,0,0,10,4,0,0,5,24,94.84083424807903,70.83333333333334,73.91304347826086,-3.0797101449275175
80350403,805,802,3,0,0,0,0,0,16,12,2,3,19,5,13,22,0,22,3,0,5,0,0,17,2,2,0,1,23,91.5929203539823,95.65217391304348,63.1578947368421,32.49427917620138
80350403,805,802,4,0,1,0,0,0,12,16,0,3,13,1,9,13,2,11,1,0,4,1,1,21,4,1,0,4,16,62.002152852529605,68.75,70.0,-1.25
80350403,805,802,5,1,1,0,0,0,7,4,0,2,7,3,5,10,2,8,1,0,0,2,0,4,4,2,0,2,10,85.51068883610452,80.0,87.5,-7.5
80350403,805,802,6,0,0,0,0,0,8,10,0,1,6,1,6,7,0,7,1,0,8,0,0,19,0,0,0,2,9,56.94200351493849,77.77777777777779,76.92307692307693,0.8547008547008517
